Scottish Mountain Rescue Statistics Report 2022 independent incidents callouts hours fatalities	default	60080
Concepcion v United States Supreme Court intervening legal factual developments sentence reduction	default	49777
Eurostat env_air_gge net greenhouse gas emissions 2019 2021 Nordic countries	default	45311
Bard spell list Gaseous Form	default	46270
Our World in Data annual working hours per worker 2017	default	46581
"Number of cats died in (x, x+1)" "3826" "0–1" "137"	default	35038
Desis kenyonae World Spider Catalog distribution	default	38304
OWID injuries death rate per 100000 2021 Central African Republic	default	48994
TB cases reduction 2021 vs 2019 reported cases by country WHO global tuberculosis report	default	40717
"Chrotopterus auritus" "Alto Mayo" RAP	default	22785
1960 election results by state popular vote Kennedy Nixon difference	default	62352
On Overfitting and Asymptotic Bias in Batch Reinforcement Learning with Partial Observability JAIR 65 authors	default	46186
sunbed regulations WHO Global Health Observatory 2017 no regulation countries list	default	0
Our World In Data United States CO2 emissions per capita peak year	default	29653
Fulwell station ticket gates step free access	default	41201
CIA World Factbook 2022 life expectancy at birth country comparisons ranking	default	30280
Space Shuttle Discovery most flights commander two missions	default	59797
Johns Hopkins Center for Gun Violence Solutions Illinois gun death rate increase 2013 to 2022 percent	default	41436
Klein Cain High School campus number TEA 101915	default	41287
"Table I-19" preterm birth rate 2022 state CDC	default	27960
Comparison of a Commercial Real-Time PCR Assay for tcdB Detection to a Cell Culture Cytotoxicity Assay and Toxigenic Culture for Direct Detection of Toxin-Producing Clostridium difficile in Clinical Samples	default	39529
IIHS 2023 Honda CR-V Top Safety Pick+ ratings small overlap moderate overlap side headlights	default	44439
Elon Musk birthplace town	default	68973
Beijing latitude Britannica	default	0
"Firearm Suicide Rate (age-adjusted) per 100,000" "Ranking, Highest to Lowest" "2020" Johns Hopkins	default	34773
Hidden Fates GX cards list Serebii	default	40988
CDC Stats of the States stroke mortality rate 2022 top 10 states list	default	40374
Jessica Dismorr blue plaque London	default	0
ourworldindata.org number of people using the internet chart continent	default	40292
site:caa.co.uk "Table 05 Air Transport Movements" September 2023 CSV	default	29862
98-400-X2016184 Canada place of birth Morocco 2016 census total population	default	0
Norman Baker MP 2015 election result	default	50359
Klein Collins High School attendance rate 2017-18 site:tea.texas.gov	default	25511
CDE DataQuest free reduced price meal eligibility 2022-2023 county Marin Napa San Francisco Sonoma	default	45711
Polish artist amputee battle Germans thought zombies attacking	default	40309
"Matthew Friend" "2020" "659,092" "1,576,800" Nike	default	11513
Intel Q3 2020 earnings results YoY percentage net income	default	73550
Curse of Dragon Yu-Gi-Oh ATK DEF	default	44622
New South Wales Environmental Trust Research Grants 2023 Macquarie University	default	48120
Our World in Data extreme poverty 2020 Democratic Republic Congo Mozambique Burundi Zambia Central African Republic	default	36860
NordPass worst passwords 2022 top 10 list	default	45295
Goodreads Choice Awards 2021 Best Fiction votes runner up	default	58019
Eurostat rail freight tonne kilometres Spain 2020 2024	default	58416
BLS number of nonfatal work injuries illnesses by state private industry 2023 total recordable cases thousands	default	39514
site:cdc.gov "Life expectancy at birth, rank, and standard error" 2020 "Male" "77.6"	default	30454
SCROPS.pdf 2012 site:nass.usda.gov	default	29787
site:noaa.gov "Hurricane Research Division" "2021" "tornado" "tropical storm"	default	12478
IUCN Red List species extinct in Spain last seen date	default	46889
"combined total of accidents" Thanksgiving Christmas Day 2022 California county	default	63527
QS World University Rankings 2023 overall score 36 academic reputation 45 Hungary Czechia Romania	default	61673
